"zybook_identifier","chapter_number","chapter_title","section_number","section_title","classification","target_week_or_topic","reason","dependency_note"
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.1","1.1 Programming (general)","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.2","1.2 Programming using Python","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.3","1.3 Basic input and output","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.4","1.4 Errors","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.5","1.5 Integrated development environment","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.6","1.6 Computers and programs (general)","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.7","1.7 Computer tour","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.8","1.8 Language history","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.9","1.9 Why whitespace and precision matter","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.10","1.10 Python example: Salary calculation","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
